user,text,date,likes,original_id
1173443841896198144,"@usedgov;@CollegeBoard;@MiamiHerald;@newjerseynews1;@nytimes;@TheView;@nhannahjones;@CBSNews;@ABCNewsLive;@CNN;@MSNBC; —American Black History, Education, Information; Hidden Info. Being Revealed &amp;  Concealed by Many From Descents of Africa People of Color N America &amp; World-wide!",2023-02-25T18:50:48.000Z,0,1629554521855672335
1173443841896198144,"@usedgov;@CollegeBoard;@NAACP;@NationalSCLC;@MayorBMScott;@BenCrumpLaw;@nhannahjones;@TheView;@guardiannews;@POTUS; -Above Comments; To Correct &amp; Resolve We ALL Must Discuss What Hs Bn Hidden From Origin-present! N State Hs Time Opt Out! Peoples Lives Endanger 24/7, 365 Dys. Yr.!",2023-02-25T07:07:50.000Z,0,1629377613306249217
1115558815,From CollegeBoard - Official SAT Practice with Khan Academy for free! https://t.co/QFCtETaGUR https://t.co/LJrZ4CHrXI,2023-02-23T12:50:12.000Z,0,1628739000000282626
1578339207915147264,@LegendarySSB @Scholastic @CengageLearning @CollegeBoard second hand books are the saviour for me,2023-02-26T20:38:08.000Z,2,1629943922381451264
1629351015156703232,THE COLLEGE BOARD RESPONDS TO FLORIDA’S FIRST REFUSAL OF THE AP AFRICAN AMERICAN TRAINING COURSE AND ACKNOWLEDGES THAT THE ROLLOUT PROCESS CONTAINED ERRORS https://t.co/pH8Fn1iCVx  #collegeboard #Florida #Trending,2023-02-25T05:56:13.000Z,0,1629359590314856448
2279761544,"@CollegeBoard, it's only 2023.   PLEASE COOL IT https://t.co/Lv18eOBB1v",2023-02-20T20:46:24.000Z,0,1627771676023742464
1555610858843160576,"IA is only a year and a half and has already been named AP School of Distinction, AP STEM School, AP STEM Achievement School. @IAFultonSchools is proud of being an AP Honors School! @CollegeBoard @FultonCoSchools #STEM #commitment #vigor https://t.co/wj2eCCmQVd",2023-02-27T04:14:06.000Z,5,1630058671064358912
948274505218174977,We love our school newspaper.    @CollegeBoard  @NACAC https://t.co/mNmkCtUUAF,2023-02-23T16:58:16.000Z,2,1628801426817269762
1211925594855731200,i hate collegeboard so god damn much,2023-02-21T01:54:52.000Z,1,1627849304361603073
1445627988180013058,หนังสือเตรียม SAT ของ collegeboard เขียนไปนิดหน่อย ขอดูรูปได้ ขายต่อ 500 #dek66 #sat #หนังสือมือสอง https://t.co/i4vK7DjmUI,2023-02-27T07:46:49.000Z,0,1630112203453124608
